N1;N314;N279;N312;D1806;D1801;N345;D1811;D1812;D1802;D1803;N18;N133;N346_old;D3_1;N350;D3;N134;N347;N138;N139;N559;N560;N561;N562;N1_1;D1804;N557;D40;D41;N314_2;N346;N459;N10;D3101;D3217;N1002;D1752;N279_1;N1128;N1030;N14;N1_2;D40_2;D41_2;N1158;D428;N279_2;D3_2;D09;N1626;N269_1;N269_2;D85;D306;N279_3;IsMerge;IsDouble;FID_Entity;N2043;N2047;RC;RN;D428_1;N2218;FID_Filial_no_head;N2260;SYNC;D85_SYNC;D85_TCUN;D428_1P
10;1012346;8601;1;False;;;False;True;;;ИФНС России по Ленинскому району г. Новосибирска;False;;;False;540401001;5404239731;;приемная +7 (383) 210-71;;False;False;True;True;0;;False;;;1012346;;;;;False;;;;;;;;;;True;0;5404;540401001;0;;0;382;11.07.2007 19:06:00;30.10.2015 9:06:00;;0;0;;;;;;;;;;;;;
11;1012347;8601;1;False;;;False;True;;;ИФНС России по Октябрьскому району г. Новосибирска;False;;;False;540501001;5405285434;;приемная +7 (383) 266-16;;False;False;True;True;0;;False;;;1012347;;;;;False;;;;;;;;;;True;0;5405;540501001;0;;0;382;11.07.2007 19:06:00;30.10.2015 9:06:00;;0;0;;;;;;;;;;;;;
12;1012349;8601;1;False;;;False;True;;;ИФНС России по Железнодорожному району г. Новосибирска;False;;;False;540501001;5407273459;;приемная +7 (383) 231-02;;False;False;True;False;0;;False;;;1012349;;;;;False;;;;;;;;;;True;0;5405;540701001;0;;0;382;11.07.2007 19:06:00;30.10.2015 9:06:00;;0;0;;;;;;;;;;;;;
13;1012400;8601;1;False;;;False;True;;;ИФНС России по Советскому административному округу г. Омска;False;;;False;550101001;5501082500;;8-800-222-2222;;False;False;True;True;0;;False;;;1012400;;;;;False;;;;;;;;;;True;0;5501;550101001;0;;0;382;11.07.2007 19:06:00;29.09.2015 9:08:00;;0;0;;;;;;;;;;;;;
14;0;8601;1;False;;;False;True;;;Инспекция МНС России по Советскому району г.Омска;False;;;False;;;;;;True;False;True;False;0;;False;;;0;;;;;False;;;;;;;;;;True;0;8601;;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
15;1012401;0   ;1;False;;;False;True;;;ИФНС России № 1 по Центральному административному округу г. Омска;False;;;False;550301001;5503085553;;8-800-222-2222;;False;False;True;True;0;;False;;;1012401;;;;;False;;;;;;;;;;True;0;5503;550301001;0;;0;382;11.07.2007 19:06:00;29.09.2015 9:08:00;;0;0;;;;;;;;;;;;;
16;1012402;8601;1;False;;;False;True;;;ИФНС России № 2 по Центральному административному округу г. Омска;False;;;False;550401001;5504097777;;8-800-222-2222;;False;False;True;True;0;;False;;;1012402;;;;;False;;;;;;;;;;True;0;5504;550401001;0;;0;382;11.07.2007 19:06:00;29.09.2015 9:08:00;;0;0;;;;;;;;;;;;;
17;1012405;8601;1;False;;;False;True;;;ИФНС России по Кировскому административному округу г. Омска;False;;;False;550701001;5507072393;;8-800-222-2222;;False;False;True;True;0;;False;;;1012405;;;;;False;;;;;;;;;;True;0;5507;550701001;0;;0;382;11.07.2007 19:06:00;29.09.2015 9:09:00;;0;0;;;;;;;;;;;;;
18;1012570;8601;1;False;;;False;True;;;ИФНС России по Ленинскому району г. Перми;False;;;False;590201001;5902290787;;342-2509879;;False;False;True;True;0;;False;;;1012570;;;;;False;;;;;;;;;;True;381;5902;590201001;0;;0;4;11.07.2007 19:06:00;25.05.2011 14:08:00;;0;0;;;;;;;;;;;;;
19;1012897;8601;1;False;;;False;True;;;Межрайонная ИФНС России №19 по Свердловской области;False;;;False;663301001;6633001154;;8-800-222-22-22 - Единый;;False;False;True;False;0;;False;;;1012897;;;;;False;;;;;;;;;;True;0;6633;663301001;0;;0;382;11.07.2007 19:06:00;20.10.2015 9:07:00;;0;0;;;;;;;;;;;;;
20;1012899;8601;1;False;;;False;True;;;Межрайонная ИФНС России №18 по Свердловской области;False;;;False;;6639001055;;8-800-222-22-22 - Единый;;False;False;True;False;0;;False;;;1012899;;;;;False;;;;;;;;;;True;0;8601;663901001;0;;0;382;11.07.2007 19:06:00;20.10.2015 9:07:00;;0;0;;;;;;;;;;;;;
21;6057126;8601;1;False;;;False;True;;;Инспекция МНС России по Тугулымскому району Свердловской;False;;;False;;;;;;False;False;True;False;0;;False;;;6057126;;;;;False;;;;;;;;;;True;0;8601;;0;;0;382;11.07.2007 19:06:00;05.10.2016 9:45:00;;0;0;;;;;;;;;;;;;
22;1012905;8601;1;False;;;False;True;;;ИФНС России по Верх-Исетскому р-ну г.Екатеринбурга;False;;;False;665801001;6658040003;;(343) 379-80-09 - справо;;False;False;True;True;0;;False;;;1012905;;;;;False;;;;;;;;;;True;381;6658;665801001;0;;0;4;11.07.2007 19:06:00;25.05.2011 14:08:00;;0;0;;;;;;;;;;;;;
23;1012906;8601;1;False;;;False;True;;;ИФНС России по Железнодорожному р-ну г.Екатеринбурга;False;;;False;665901001;6659013130;;(343) 370-05-18 - справо;;False;False;True;False;0;;False;;;1012906;;;;;False;;;;;;;;;;True;0;6659;665901001;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
24;0;8601;1;False;;;False;True;;;Инспекция МНС по Кировскому р-ну г.Екатеринбурга;False;;;False;;;;;;False;False;True;False;0;;False;;;0;;;;;False;;;;;;;;;;True;0;8601;;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
25;0;8601;1;False;;;False;True;;;Инспекция МНС России по Чкаловскому району г.Екатеринбурга;False;;;False;;;;;;False;False;True;False;0;;False;;;0;;;;;False;;;;;;;;;;True;0;8601;;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
26;1013035;8601;1;False;;;False;True;;;ИФНС России по г.Томску;False;;;False;701701001;7021022569;;3822-280070 Единый Конта;;False;False;True;True;0;;False;;;1013035;;;;;False;;;;;;;;;;True;0;7017;701701001;0;;0;382;11.07.2007 19:06:00;09.10.2015 9:05:00;;0;0;;;;;;;;;;;;;
27;1013085;8601;1;False;;;False;True;;;ИФНС России по г. Тюмени № 2;False;;;False;720401001;7202020002;;3452-296006, 3452-296033;;False;False;True;False;0;;False;;;1013085;;;;;False;;;;;;;;;;True;0;7204;720201001;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
28;1013086;7204;1;False;;;False;True;;;ИФНС России по г. Тюмени № 3;False;;;False;720301001;7203000979;;3452-792300, 3452-792385;;False;False;True;True;0;;False;;;1013086;;;;;False;;;7204;;;;;;;True;0;7203;720301001;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
29;1013087;8601;1;False;;;False;True;;;ИФНС России по г. Тюмени № 4;False;;;False;720401001;7204006780;;3452-296106, 3452-296162;;False;False;True;False;0;;False;;;1013087;;;;;False;;;;;;;;;;True;0;7204;720401001;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
30;1013089;8601;1;False;;;False;True;;;Межрайонная ИФНС России № 7 по Тюменской области;False;;;False;720601001;7206025202;;3456-395800, 3456-395875;;False;False;True;False;0;;False;;;1013089;;;;;False;;;;;;;;;;True;0;7206;720601001;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
31;1013105;8601;1;False;;;False;True;;;Межрайонная ИФНС России № 6 по Тюменской области;False;;;False;720301001;7202104830;;3452-404849, 3452-404968;;False;False;True;False;0;;False;;;1013105;;;;;False;;;;;;;;;;True;0;7203;720201001;0;;0;382;11.07.2007 19:06:00;29.08.2014 19:17:00;;0;0;;;;;;;;;;;;;
32;1013217;8601;1;False;;;False;True;;;Межрайонная ИФНС России №5 по Ярославской области;False;;;False;760401001;7604016101;;(4852) 30-17-24;;False;False;True;False;0;;False;;;1013217;;;;;False;;;;;;;;;;True;0;7604;760401001;0;;0;382;11.07.2007 19:06:00;20.11.2017 10:37:00;;0;0;;;;;;;;;;;;;
33;1013238;8601;1;False;;;False;True;;;ИФНС России № 1 по г.Москве;False;;;False;770901001;7701107259;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013238;;;;;False;;;;;;;;;;True;0;7709;770101001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
34;1013239;8601;1;False;;;False;True;;;ИФНС России № 2 по г.Москве;False;;;False;770201001;7702143179;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013239;;;;;False;;;;;;;;;;True;0;7702;770201001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
35;1013240;8601;1;False;;;False;True;;;ИФНС России № 3 по г.Москве;False;;;False;770301001;7703037470;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013240;;;;;False;;;;;;;;;;True;0;7703;770301001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
36;1013241;8601;1;False;;;False;True;;;ИФНС России № 4 по г.Москве;False;;;False;770401001;7704058987;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013241;;;;;False;;;;;;;;;;True;0;7704;770401001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
37;1013242;8601;1;False;;;False;True;;;ИФНС России № 5 по г. Москве;False;;;False;770901001;7705045236;;http://www.nalog.ru/rn77;;False;False;True;False;0;;False;;;1013242;;;;;False;;;;;;;;;;True;0;7709;770501001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
38;1013243;8601;1;False;;;False;True;;;ИФНС России № 6 по г. Москве;False;;;False;772601001;7706044740;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013243;;;;;False;;;;;;;;;;True;0;7726;770601001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
39;1013244;8601;1;False;;;False;True;;;ИФНС России № 7 по г. Москве;False;;;False;770901001;7707081688;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013244;;;;;False;;;;;;;;;;True;0;7709;770701001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
40;1013245;8601;1;False;;;False;True;;;ИФНС России № 8 по г. Москве;False;;;False;770201001;7708034472;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013245;;;;;False;;;;;;;;;;True;0;7702;770801001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
41;1013246;8601;1;False;;;False;True;;;ИФНС России № 9 по г.Москве;False;;;False;770901001;7709000010;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013246;;;;;False;;;;;;;;;;True;0;7709;770901001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
42;1013247;8601;1;False;;;False;True;;;ИФНС России № 10 по г. Москве;False;;;False;772601001;7710047253;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013247;;;;;False;;;;;;;;;;True;0;7726;771001001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
43;0;8601;1;False;;;False;True;;;Инспекция МНС России ГНИ 12 САО Г.МОСКВЫ;False;;;False;;;;;;False;False;True;False;0;;False;;;0;;;;;False;;;;;;;;;;True;0;8601;;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
44;1013248;8601;1;False;;;False;True;;;ИФНС России № 13 по г.Москве;False;;;False;770901001;7713034630;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013248;;;;;False;;;;;;;;;;True;0;7709;771301001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
45;1013249;8601;1;False;;;False;True;;;ИФНС России № 14 по г.Москве;False;;;False;771401001;7714014428;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013249;;;;;False;;;;;;;;;;True;0;7714;771401001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
46;1013252;8601;1;False;;;False;True;;;ИФНС России № 17 по г.Москве;False;;;False;771701001;7717018935;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013252;;;;;False;;;;;;;;;;True;0;7717;771701001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
47;1013254;8601;1;False;;;False;True;;;ИФНС России № 19 по г.Москве;False;;;False;771901001;7719107193;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013254;;;;;False;;;;;;;;;;True;0;7719;771901001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
48;1013256;8601;1;False;;;False;True;;;ИФНС России № 21 по г.Москве;False;;;False;772101001;7721049904;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013256;;;;;False;;;;;;;;;;True;0;7721;772101001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
49;1013263;8601;1;False;;;False;True;;;ИФНС России № 28 по г.Москве;False;;;False;772801001;7728124050;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013263;;;;;False;;;;;;;;;;True;0;7728;772801001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
50;1013264;8601;1;False;;;False;True;;;ИФНС России № 29 по г. Москве;False;;;False;772901001;7729150007;;8-800-222-22-22;;False;False;True;False;0;;False;;;1013264;;;;;False;;;;;;;;;;True;0;7729;772901001;0;;0;382;11.07.2007 19:06:00;18.12.2015 9:06:00;;0;0;;;;;;;;;;;;;
51;0;8601;1;False;;;False;True;;;Межрайонная инспекция МНС России N38 по г.Москве;False;;;False;;;;;;False;False;True;False;0;;False;;;0;;;;;False;;;;;;;;;;True;0;8601;;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
52;0;8601;1;False;;;False;True;;;Инспекция МНС России по работе с Крупнейшими налогоплательщиками г.Москвы;False;;;False;;;;;;False;False;True;False;0;;False;;;0;;;;;False;;;;;;;;;;True;0;8601;;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
53;1784958;8601;1;False;;;False;True;;;Межрайонная Инспекция МНС России 44 по г.Москве;False;;;False;;;;;;True;False;True;False;0;;False;06.08.2011 0:00:00;;1784958;;;;;False;;;;;;;;06.08.2011 0:00:00;;True;0;8601;;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
54;1013281;8601;1;False;;;False;True;;;Межрайонная ИФНС России №16 по Санкт-Петербургу;False;;;False;780101001;7801045990;;812-321-34-58;;False;False;True;False;0;;False;;;1013281;;;;;False;;;;;;;;;;True;0;7801;780101001;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
55;1013291;8601;1;False;;;False;True;;;Межрайонная ИФНС России №27 по Санкт-Петербургу;False;;;False;781601001;7816094165;;812-335-12-12;;False;False;True;False;0;;False;;;1013291;;;;;False;;;;;;;;;;True;0;7816;781601001;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
56;0;8601;1;False;;;False;True;;;Инспекция МНС России по ЦЕНТР.Р-НУ С-ПЕТЕРБУРГА;False;;;False;;;;;;False;False;True;False;0;;False;;;0;;;;;False;;;;;;;;;;True;0;8601;;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
57;1013341;0   ;1;False;;;False;True;;;ИФНС России по г. Сургуту Ханты-Мансийского автономного округа - Югры;False;;;False;860201001;8602200058;;346-2-52-63-36, 346-2-52;;False;False;True;True;0;;False;;;1013341;;;;;False;;;0   ;;;;;;;True;381;8602;860201001;0;;0;4;11.07.2007 19:06:00;25.05.2011 14:08:00;;0;0;;;;;;;;;;;;;
58;1013342;0   ;1;False;;;False;True;;;Межрайонная ИФНС России № 6 по Ханты-Мансийскому автономному округу - Югре;False;;;False;860301001;8603109468;;346-6-49-70-61, 346-6-24;;False;False;True;False;0;;False;;;1013342;;;;;False;;;0   ;;;;;;;True;381;8603;860301001;0;;0;4;11.07.2007 19:06:00;25.05.2011 14:08:00;;0;0;;;;;;;;;;;;;
59;1013343;0   ;1;False;;;False;True;;;ИФНС России по г. Нефтеюганску Ханты-Мансийского автономного округа - Югры;False;;;False;860401002;8604009900;;346-3-22-38-54, 346-3-22;;False;False;True;True;0;;False;;;1013343;;;;;False;;;0   ;;;;;;;True;381;8604;860401001;0;;0;4;11.07.2007 19:06:00;25.05.2011 14:08:00;;0;0;;;;;;;;;;;;;
60;1013344;0   ;1;False;;;False;True;;;ИФНС России по г. Мегиону Ханты-Мансийского автономного округа - Югры;False;;;False;860501001;8605001808;;346-63-5-33-33;;False;False;True;False;0;;False;;;1013344;;;;;False;;;0   ;;;;;;;True;381;8605;860501001;0;;0;4;11.07.2007 19:06:00;25.05.2011 14:08:00;;0;0;;;;;;;;;;;;;
61;1013346;8600;1;False;;;False;True;;;Межрайонная ИФНС России № 5 по Ханты-Мансийскому автономному округу - Югре;False;;;False;860701001;8607100265;;34669-91200, 34669-26513;;False;False;True;False;0;;False;;;1013346;;;;;False;;;8600;;;;;;;True;0;8607;860701001;0;;0;382;11.07.2007 19:06:00;14.02.2015 10:14:00;;0;0;;;;;;;;;;;;;
62;1013347;0   ;1;False;;;False;True;;;ИФНС России по г. Когалыму Ханты-Мансийского автономного округа - Югры;False;;;False;860801001;8608000418;;34667-92608, 34667-92693;;False;False;True;False;0;;False;;;1013347;;;;;False;;;0   ;;;;;;;True;0;8608;860801001;0;;0;408;11.07.2007 19:06:00;22.05.2015 17:19:00;;0;0;;;;;;;;;;;;;
63;1013348;0   ;1;False;;;False;True;;;Территориальный участок 8609 по г. Радужному;False;;;False;860901003;8609011758;;34668-47499, 34668-47438;;False;False;True;True;0;;False;;;1013348;;;;;False;;;0   ;;;;;;;True;0;8609;860901001;0;;0;382;11.07.2007 19:06:00;21.05.2015 9:06:00;;0;0;;;;;;;;;;;;;
64;1013349;8610;1;False;;;False;True;;;Межрайонная ИФНС России № 3 по Ханты-Мансийскому автономному округу - Югре;False;;;False;861001001;8610012636;;346-72-3-38-40;;False;False;True;True;0;;False;;;1013349;;;;;False;;;8610;;;;;;;True;381;8610;861001001;0;;0;4;11.07.2007 19:06:00;25.05.2011 14:08:00;;0;0;;;;;;;;;;;;;
65;1013351;8601;1;False;;;False;True;;;Территориальный участок 8612 по г.Пыть-Яху;False;;;False;;8619011309;;3463-286505, 3463-286515;;False;False;True;True;0;;False;;;1013351;;;;;False;;;;;;;;;;True;0;8601;;0;;0;382;11.07.2007 19:06:00;21.05.2015 9:06:00;;0;0;;;;;;;;;;;;;
66;1013357;0   ;1;False;;;False;True;;;Территориальный участок 8618 по Ханты-Мансийскому;False;;;False;;8601017571;;3467-394700, 3467-334923;;False;False;True;False;0;;False;;;1013357;;;;;False;;;0   ;;;;;;;True;0;0   ;860101001;0;;0;382;11.07.2007 19:06:00;21.05.2015 9:06:00;;0;0;;;;;;;;;;;;;
67;1013358;8601;1;False;;;False;True;;;Межрайонная ИФНС России № 7 по Ханты-Мансийскому автономному округу - Югре;False;;;False;861901001;8619011309;;346-3-28-65-14, 346-3-25;;False;False;True;False;0;;False;;;1013358;;;;;False;;;;;;;;;;True;381;8619;861901001;0;;0;4;11.07.2007 19:06:00;25.05.2011 14:08:00;;0;0;;;;;;;;;;;;;
68;1013359;8601;1;False;;;False;True;;;Территориальный участок 8620 по Нижневартовскому району;False;;;False;;8603109468;;3466-497000, 3466-297003;;False;False;True;False;0;;False;;;1013359;;;;;False;;;;;;;;;;True;0;8601;;0;;0;382;11.07.2007 19:06:00;21.05.2015 9:06:00;;0;0;;;;;;;;;;;;;
69;1013361;8600;1;False;;;False;True;;;Межрайонная ИФНС России № 4 по Ханты-Мансийскому автономному округу - Югре;False;;;False;862201001;8622008585;;34675-77015, 34675-77071;;False;False;True;True;0;;False;;;1013361;;;;;False;;;8600;;;;;;;True;0;8622;862201001;0;;0;408;11.07.2007 19:06:00;22.05.2015 17:19:00;;0;0;;;;;;;;;;;;;
70;1013375;8601;1;False;;;False;True;;;Межрайонная ИФНС России № 1 по Ямало-Ненецкому автономному округу;False;;;False;890101001;8901014300;;349-22 2-57-00,2-57-57;;False;False;True;False;0;;False;;;1013375;;;;;False;;;;;;;;;;True;0;8901;890101001;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
75;1502308;8601;1;False;;;False;True;;;Межрайонная ИФНС России № 1 по Калининградской области;False;;;False;         ; ;; ; ;False;False;False;False;0;;False;01.01.1994 0:00:00;13.10.1995 0:00:00;1502308;;;;;False;;;8601;;;;;01.01.1994 0:00:00;13.10.1995 0:00:00;True;0;8601;;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
76;1516665;8601;1;False;;;False;True;;;Межрегиональная инспекция ФНС России по Северо-Кавказкому федеральному округу;False;;;False;         ; ;; ; ;False;False;False;False;0;;False;01.01.1994 0:00:00;11.10.1995 0:00:00;1516665;;;;;False;;;8601;;;;;01.01.1994 0:00:00;11.10.1995 0:00:00;True;0;8601;;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
77;0;8601;1;False;;;False;True;;;Межрайонная ИФНС России №6 по Астраханской области;False;;;False;         ; ;; ; ;False;False;False;False;0;;False;01.01.1994 0:00:00;30.10.1997 0:00:00;0;;;;;False;;;8601;;;;;01.01.1994 0:00:00;30.10.1997 0:00:00;True;0;8601;;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
79;0;8601;1;False;;;False;True;;;Межрайонная ИФНС России № 4 по Кемеровской области;False;;;False;         ; ;; ; ;False;False;False;False;0;;False;01.01.1994 0:00:00;22.04.1994 0:00:00;0;;;;;False;;;8601;;;;;01.01.1994 0:00:00;22.04.1994 0:00:00;True;0;8601;;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
80;0;8601;1;False;;;False;True;;;МРИ ФНС России №13 по Свердловской области;False;;;False;         ; ;; ; ;False;False;False;False;0;;False;01.01.1994 0:00:00;20.09.1994 0:00:00;0;;;;;False;;;8601;;;;;01.01.1994 0:00:00;20.09.1994 0:00:00;True;0;8601;;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
81;13670566;8601;1;True;;;True;True;;;ХАНТЫ-МАНСИЙСКИЙ ФИЛИАЛ "БОЮТ ИНШААТ";False;;;False;860102001;0275035086;; ; ;False;False;False;False;0;;False;05.07.2001 0:00:00;06.12.2017 0:00:00;13670566;;;;;False;;;8601;;;;;05.07.2001 0:00:00;06.12.2017 0:00:00;True;0;8601;860102001;0;;0;382;11.07.2007 19:06:00;06.12.2017 13:00:00;;0;0;;;;;;;;;;;;;
82;1776;0411;1;False;;;False;True;;;ООО "СЕЙСМОС";False;;;False;041101001;0411061433;; ; ;True;False;False;False;0;;False;25.01.2000 0:00:00;;1776;;;;;False;;;0411;;;;;25.01.2000 0:00:00;;True;0;;041101001;0;;0;382;11.07.2007 19:06:00;02.11.2016 21:38:00;;0;0;;;;;;;;;;;;;
